threshold,accuracy,precision,recall,specificity,f1_score,balanced_accuracy,roc_auc,pr_auc,brier_score,positive_prediction_rate
0.1,0.551948051948052,0.4380165289256198,0.9814814814814815,0.32,0.6057142857142858,0.6507407407407407,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.7857142857142857
0.11,0.5584415584415584,0.44166666666666665,0.9814814814814815,0.33,0.6091954022988506,0.6557407407407407,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.7792207792207793
0.12,0.5714285714285714,0.4491525423728814,0.9814814814814815,0.35,0.6162790697674418,0.6657407407407407,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.7662337662337663
0.13,0.5974025974025974,0.4649122807017544,0.9814814814814815,0.39,0.6309523809523809,0.6857407407407408,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.7402597402597403
0.14,0.6038961038961039,0.4690265486725664,0.9814814814814815,0.4,0.6347305389221557,0.6907407407407408,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.7337662337662337
0.15,0.6103896103896104,0.4732142857142857,0.9814814814814815,0.41,0.6385542168674698,0.6957407407407408,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.7272727272727273
0.16,0.6233766233766234,0.4818181818181818,0.9814814814814815,0.43,0.6463414634146342,0.7057407407407408,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.7142857142857143
0.17,0.6233766233766234,0.4818181818181818,0.9814814814814815,0.43,0.6463414634146342,0.7057407407407408,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.7142857142857143
0.18,0.6298701298701299,0.48623853211009177,0.9814814814814815,0.44,0.6503067484662577,0.7107407407407408,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.7077922077922078
0.19,0.6363636363636364,0.49074074074074076,0.9814814814814815,0.45,0.654320987654321,0.7157407407407408,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.7012987012987013
0.2,0.6493506493506493,0.5,0.9814814814814815,0.47,0.6625,0.7257407407407408,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.6883116883116883
0.21,0.6558441558441559,0.5047619047619047,0.9814814814814815,0.48,0.6666666666666666,0.7307407407407407,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.6818181818181818
0.22,0.6493506493506493,0.5,0.9629629629629629,0.48,0.6582278481012658,0.7214814814814814,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.6753246753246753
0.23,0.6623376623376623,0.5098039215686274,0.9629629629629629,0.5,0.6666666666666666,0.7314814814814814,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.6623376623376623
0.24,0.6558441558441559,0.504950495049505,0.9444444444444444,0.5,0.6580645161290323,0.7222222222222222,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.6558441558441559
0.25,0.6623376623376623,0.51,0.9444444444444444,0.51,0.6623376623376623,0.7272222222222222,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.6493506493506493
0.26,0.6818181818181818,0.5257731958762887,0.9444444444444444,0.54,0.6754966887417219,0.7422222222222222,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.6298701298701299
0.27,0.6818181818181818,0.5257731958762887,0.9444444444444444,0.54,0.6754966887417219,0.7422222222222222,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.6298701298701299
0.28,0.6883116883116883,0.53125,0.9444444444444444,0.55,0.68,0.7472222222222222,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.6233766233766234
0.29,0.7142857142857143,0.5543478260869565,0.9444444444444444,0.59,0.6986301369863014,0.7672222222222222,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.5974025974025974
0.3,0.7142857142857143,0.5543478260869565,0.9444444444444444,0.59,0.6986301369863014,0.7672222222222222,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.5974025974025974
0.31,0.7142857142857143,0.5543478260869565,0.9444444444444444,0.59,0.6986301369863014,0.7672222222222222,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.5974025974025974
0.32,0.7272727272727273,0.5666666666666667,0.9444444444444444,0.61,0.7083333333333334,0.7772222222222223,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.5844155844155844
0.33,0.7337662337662337,0.5730337078651685,0.9444444444444444,0.62,0.7132867132867133,0.7822222222222222,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.577922077922078
0.34,0.7467532467532467,0.5862068965517241,0.9444444444444444,0.64,0.723404255319149,0.7922222222222222,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.564935064935065
0.35,0.7467532467532467,0.5862068965517241,0.9444444444444444,0.64,0.723404255319149,0.7922222222222222,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.564935064935065
0.36,0.7402597402597403,0.5813953488372093,0.9259259259259259,0.64,0.7142857142857143,0.782962962962963,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.5584415584415584
0.37,0.7532467532467533,0.5952380952380952,0.9259259259259259,0.66,0.7246376811594203,0.792962962962963,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.5454545454545454
0.38,0.7467532467532467,0.5903614457831325,0.9074074074074074,0.66,0.7153284671532847,0.7837037037037038,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.538961038961039
0.39,0.7467532467532467,0.5903614457831325,0.9074074074074074,0.66,0.7153284671532847,0.7837037037037038,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.538961038961039
0.4,0.7532467532467533,0.5975609756097561,0.9074074074074074,0.67,0.7205882352941176,0.7887037037037037,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.5324675324675324
0.41,0.7532467532467533,0.6,0.8888888888888888,0.68,0.7164179104477612,0.7844444444444445,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.5194805194805194
0.42,0.7532467532467533,0.6025641025641025,0.8703703703703703,0.69,0.7121212121212122,0.7801851851851851,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.5064935064935064
