threshold,accuracy,precision,recall,specificity,f1_score,balanced_accuracy,roc_auc,pr_auc,brier_score,positive_prediction_rate
0.1,0.872093023255814,0.7441860465116279,1.0,0.7962962962962963,0.8533333333333334,0.8981481481481481,0.9994212962962963,0.9990530303030303,0.022615385004776892,0.5
0.15,0.9302325581395349,0.8421052631578947,1.0,0.8888888888888888,0.9142857142857143,0.9444444444444444,0.9994212962962963,0.9990530303030303,0.022615385004776892,0.4418604651162791
0.2,0.9767441860465116,0.9411764705882353,1.0,0.9629629629629629,0.9696969696969697,0.9814814814814814,0.9994212962962963,0.9990530303030303,0.022615385004776892,0.3953488372093023
0.25,0.9767441860465116,0.96875,0.96875,0.9814814814814815,0.96875,0.9751157407407407,0.9994212962962963,0.9990530303030303,0.022615385004776892,0.37209302325581395
0.3,0.9767441860465116,0.96875,0.96875,0.9814814814814815,0.96875,0.9751157407407407,0.9994212962962963,0.9990530303030303,0.022615385004776892,0.37209302325581395
0.35,0.9767441860465116,0.96875,0.96875,0.9814814814814815,0.96875,0.9751157407407407,0.9994212962962963,0.9990530303030303,0.022615385004776892,0.37209302325581395
0.4,0.9767441860465116,0.96875,0.96875,0.9814814814814815,0.96875,0.9751157407407407,0.9994212962962963,0.9990530303030303,0.022615385004776892,0.37209302325581395
0.45,0.9883720930232558,1.0,0.96875,1.0,0.9841269841269841,0.984375,0.9994212962962963,0.9990530303030303,0.022615385004776892,0.36046511627906974
0.5,0.9767441860465116,1.0,0.9375,1.0,0.967741935483871,0.96875,0.9994212962962963,0.9990530303030303,0.022615385004776892,0.3488372093023256
0.55,0.9767441860465116,1.0,0.9375,1.0,0.967741935483871,0.96875,0.9994212962962963,0.9990530303030303,0.022615385004776892,0.3488372093023256
0.6,0.9767441860465116,1.0,0.9375,1.0,0.967741935483871,0.96875,0.9994212962962963,0.9990530303030303,0.022615385004776892,0.3488372093023256
0.65,0.9651162790697675,1.0,0.90625,1.0,0.9508196721311475,0.953125,0.9994212962962963,0.9990530303030303,0.022615385004776892,0.3372093023255814
0.7,0.9302325581395349,1.0,0.8125,1.0,0.896551724137931,0.90625,0.9994212962962963,0.9990530303030303,0.022615385004776892,0.3023255813953488
0.75,0.9186046511627907,1.0,0.78125,1.0,0.8771929824561403,0.890625,0.9994212962962963,0.9990530303030303,0.022615385004776892,0.29069767441860467
0.8,0.9069767441860465,1.0,0.75,1.0,0.8571428571428571,0.875,0.9994212962962963,0.9990530303030303,0.022615385004776892,0.27906976744186046
0.85,0.8953488372093024,1.0,0.71875,1.0,0.8363636363636363,0.859375,0.9994212962962963,0.9990530303030303,0.022615385004776892,0.26744186046511625
0.9,0.8837209302325582,1.0,0.6875,1.0,0.8148148148148148,0.84375,0.9994212962962963,0.9990530303030303,0.022615385004776892,0.2558139534883721
