threshold,accuracy,precision,recall,f1_score,specificity,balanced_accuracy,roc_auc,pr_auc,brier_score,positive_prediction_rate,selection_score
0.1,0.32786885245901637,0.41304347826086957,0.5757575757575758,0.4810126582278481,0.03571428571428571,0.30573593073593075,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.7540983606557377,0.4107530347190406
0.11,0.29508196721311475,0.38636363636363635,0.5151515151515151,0.44155844155844154,0.03571428571428571,0.2754329004329004,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.7213114754098361,0.3752921518118176
0.12,0.2786885245901639,0.37209302325581395,0.48484848484848486,0.42105263157894735,0.03571428571428571,0.2602813852813853,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.7049180327868853,0.3572319908385599
0.13,0.2786885245901639,0.37209302325581395,0.48484848484848486,0.42105263157894735,0.03571428571428571,0.2602813852813853,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.7049180327868853,0.3572319908385599
0.14,0.2786885245901639,0.37209302325581395,0.48484848484848486,0.42105263157894735,0.03571428571428571,0.2602813852813853,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.7049180327868853,0.3572319908385599
0.15,0.26229508196721313,0.35714285714285715,0.45454545454545453,0.4,0.03571428571428571,0.24512987012987011,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.6885245901639344,0.3389371734568392
0.16,0.26229508196721313,0.35714285714285715,0.45454545454545453,0.4,0.03571428571428571,0.24512987012987011,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.6885245901639344,0.3389371734568392
0.17,0.2459016393442623,0.34146341463414637,0.42424242424242425,0.3783783783783784,0.03571428571428571,0.22997835497835498,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.6721311475409836,0.3203955256956793
0.18,0.2459016393442623,0.34146341463414637,0.42424242424242425,0.3783783783783784,0.03571428571428571,0.22997835497835498,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.6721311475409836,0.3203955256956793
0.19,0.2459016393442623,0.34146341463414637,0.42424242424242425,0.3783783783783784,0.03571428571428571,0.22997835497835498,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.6721311475409836,0.3203955256956793
0.2,0.2459016393442623,0.34146341463414637,0.42424242424242425,0.3783783783783784,0.03571428571428571,0.22997835497835498,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.6721311475409836,0.3203955256956793
0.21,0.22950819672131148,0.325,0.3939393939393939,0.3561643835616438,0.03571428571428571,0.2148268398268398,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.6557377049180327,0.3015939367848354
0.22,0.21311475409836064,0.3076923076923077,0.36363636363636365,0.3333333333333333,0.03571428571428571,0.19967532467532467,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.639344262295082,0.28251825903792477
0.23,0.21311475409836064,0.3076923076923077,0.36363636363636365,0.3333333333333333,0.03571428571428571,0.19967532467532467,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.639344262295082,0.28251825903792477
0.24,0.21311475409836064,0.3076923076923077,0.36363636363636365,0.3333333333333333,0.03571428571428571,0.19967532467532467,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.639344262295082,0.28251825903792477
0.25,0.19672131147540983,0.2894736842105263,0.3333333333333333,0.30985915492957744,0.03571428571428571,0.1845238095238095,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.6229508196721312,0.26315319366099876
0.26,0.18032786885245902,0.2702702702702703,0.30303030303030304,0.2857142857142857,0.03571428571428571,0.16937229437229437,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.6065573770491803,0.24348216000182574
0.27,0.16393442622950818,0.25,0.2727272727272727,0.2608695652173913,0.03571428571428571,0.1542207792207792,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.5901639344262295,0.22348714522420227
0.28,0.14754098360655737,0.22857142857142856,0.24242424242424243,0.23529411764705882,0.03571428571428571,0.13906926406926406,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.5737704918032787,0.20314853072702
0.29,0.14754098360655737,0.22857142857142856,0.24242424242424243,0.23529411764705882,0.03571428571428571,0.13906926406926406,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.5737704918032787,0.20314853072702
0.3,0.13114754098360656,0.20588235294117646,0.21212121212121213,0.208955223880597,0.03571428571428571,0.12391774891774893,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.5573770491803278,0.18244489079071982
0.31,0.13114754098360656,0.20588235294117646,0.21212121212121213,0.208955223880597,0.03571428571428571,0.12391774891774893,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.5573770491803278,0.18244489079071982
0.32,0.13114754098360656,0.20588235294117646,0.21212121212121213,0.208955223880597,0.03571428571428571,0.12391774891774893,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.5573770491803278,0.18244489079071982
0.33,0.13114754098360656,0.20588235294117646,0.21212121212121213,0.208955223880597,0.03571428571428571,0.12391774891774893,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.5573770491803278,0.18244489079071982
0.34,0.13114754098360656,0.20588235294117646,0.21212121212121213,0.208955223880597,0.03571428571428571,0.12391774891774893,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.5573770491803278,0.18244489079071982
0.35,0.13114754098360656,0.20588235294117646,0.21212121212121213,0.208955223880597,0.03571428571428571,0.12391774891774893,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.5573770491803278,0.18244489079071982
0.36,0.13114754098360656,0.20588235294117646,0.21212121212121213,0.208955223880597,0.03571428571428571,0.12391774891774893,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.5573770491803278,0.18244489079071982
0.37,0.13114754098360656,0.20588235294117646,0.21212121212121213,0.208955223880597,0.03571428571428571,0.12391774891774893,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.5573770491803278,0.18244489079071982
0.38,0.11475409836065574,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.03571428571428571,0.10876623376623376,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.5409836065573771,0.1613527578724236
0.39,0.11475409836065574,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.03571428571428571,0.10876623376623376,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.5409836065573771,0.1613527578724236
