feature,mutual_information
thal,0.18902376737224924
cp,0.16622892435269288
ca,0.12009728864223268
exang,0.09393399153746462
chol,0.08494011537201995
oldpeak,0.08406157005178927
thalach,0.07230776779027193
slope,0.05727785558858245
trestbps,0.036478572802569165
age,0.015074327041609825
restecg,0.013635942604563356
fbs,0.007388605991040409
sex,0.00704139559613437
