feature,mutual_information
Glucose,0.11773326430464359
BMI,0.08104043876020284
Pregnancies,0.06098491461047906
Age,0.05139531623906901
DiabetesPedigreeFunction,0.014589811660974839
Insulin,0.012804231832826751
SkinThickness,0.012371636958805832
BloodPressure,0.0017629530637111035
